"filename", "language", "JSON", "Markdown", "C++", "Swift", "YAML", "XML", "Dart", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\home_page_bottom_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 3, 27
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\new_arrivals_home_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 6, 5, 67
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\offer_home_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 4, 20
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home\to_buy_home_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 6, 5, 67
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 11, 13, 115
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\new_arrivals\new_arrivals.dart", "Dart", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 7, 11, 128
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_account.dart", "Dart", 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 73, 27, 354
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_purchases_image_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 1, 8, 141
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_purchases_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 10, 10, 69
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_rentals.dart", "Dart", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 4, 11, 99
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_rentals_image_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 1, 8, 141
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_rentals_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 10, 10, 70
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\my_transactions.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 2, 3, 53
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\new_arrivals_home_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 5, 53
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\profile.dart", "Dart", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 19, 15, 124
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\profile\profile_landing.dart", "Dart", 0, 0, 0, 0, 0, 0, 295, 0, 0, 0, 18, 18, 331
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\sign_up\config.dart", "Dart", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\sign_up\facebook_sign_in.dart", "Dart", 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 20, 178
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\sign_up\fb_login.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 7, 23
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\sign_up\google_sign_in.dart", "Dart", 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 37, 22, 242
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\sign_up\login_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 52, 5, 88
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\delivery_radio_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 1, 7, 67
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\purchase_price_summary.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 3, 56
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\rental_price_summary.dart", "Dart", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 4, 59
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\summary_image_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 1, 7, 52
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\summary_purchase.dart", "Dart", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 58, 17, 274
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\summary\summary_rental.dart", "Dart", 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 16, 15, 253
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\to_rent\confirm_rent-old.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 5, 28
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\to_rent\item_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 12, 45
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\to_rent\rent_this_with_date_selecter.dart", "Dart", 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 42, 25, 317
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\screens\to_rent\to_rent.dart", "Dart", 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 25, 19, 266
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\services\class_store.dart", "Dart", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 64, 25, 219
"c:\Users\Chris Milner\Dev\Code\Flutter\unearthed\lib\services\firestore_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 16, 12, 79
